Company_ID,Sector,Country,R&D_Spend,Marketing_Spend,Admin_Cost,Employee_Count,Revenue_Last_Year,Years_Active,Profit_Margin,Revenue_Growth
19,Energy,Japan,38024.57583774577,40448.774084116645,57625.016362510716,218,138520.97084890897,5,0.12673518685367247,0.2727530622797535
20,Health,India,29550.26968924983,,35128.89926175833,31,311605.09967675054,5,0.2230692196364955,0.4577827428084912
21,Finance,UK,124595.07828821737,67084.0300784452,50719.19156319594,175,363454.0550574942,13,0.18242631326928171,0.6402292405565838
22,Retail,India,53482.61087929391,34744.619262499415,53328.5232554983,108,290235.4294302978,6,0.13682512765260868,0.4355058417983243
23,Energy,Japan,61930.25443446889,48309.680531613776,66327.90315006381,217,263372.1291054009,18,0.06027040175901356,0.46201119864581913
24,Finance,Japan,29366.971601059646,177258.11305513815,34294.15521057066,17,287251.0214283275,2,0.03821641675156211,0.6732360324617606
25,Tech,India,45606.64176956222,138209.4962893701,13765.854130150095,199,270353.3790079374,6,0.17172398339614675,0.6411061225645567
26,Tech,Japan,63288.650487134284,63690.72342308888,52206.194537044335,184,192156.23104478663,9,0.09979511259365778,0.4150709817035697
27,Finance,Germany,,50151.41893964191,71606.13417813025,282,242825.54584076547,3,0.1966288527668063,0.3888981326136415
28,Health,USA,72247.21143488212,52681.45610447602,64867.35623527325,26,341702.39240110514,1,0.03498018144466414,0.5276368304235909
29,Finance,USA,44341.69257303298,70835.16120823304,52515.91298329551,99,325734.28331012,1,0.26150658387462233,0.5307426654023994
30,Finance,USA,51748.62419153363,26537.77479377064,44100.36577241543,150,313444.78447734565,19,0.19647048629521724,0.44544578351375597
31,Retail,Germany,44318.0221517441,42006.266039153656,59685.47115964773,154,220388.12145172965,5,0.15694295629844093,0.3867074001467291
32,Tech,Japan,151166.7924956226,18013.010037745047,38317.44560354637,175,285479.74702914665,13,0.26781412554819123,0.538677833363492
33,Tech,India,,62288.61065666445,55716.293232274635,87,125834.79628457161,19,0.21638925539547954,0.33763975324980366
34,Energy,UK,35282.57643022995,,56065.641909999526,271,314278.1331108312,12,0.11674977329680691,0.49251970178500676
35,Finance,Japan,90334.29492394529,36683.712066269494,62722.51888998656,172,414308.61662508536,16,0.15543034168448303,0.6198785540965358
36,Finance,Germany,32518.94673824811,126044.72181188197,83115.92046693293,23,182069.42943663156,19,0.0125007990129678,0.516788165029141
37,Health,Germany,66465.06813999795,23494.945742158816,54708.9916061452,248,253125.78613457957,3,0.22449332173841957,0.4050691305357126
38,Tech,USA,22475.13661965379,20360.969183695426,43892.436491510016,81,326328.54229681037,12,0.12928338254057947,0.37780843599195096
39,Health,Japan,30819.626053243825,56087.65933649858,49693.10825369607,152,400227.4107541987,5,0.011594260833271253,0.5283143168095313
40,Retail,USA,66067.39378220949,91881.8674583178,28771.08914133058,292,264142.03069598804,2,0.06727130014137059,0.536578365366026
41,Energy,UK,86615.43310073898,134639.56726908646,41663.4424269313,278,244619.9736587283,7,0.21096384339145868,0.668759296877935
42,Health,USA,65230.611586616986,37222.52777353893,45088.610742642755,250,142486.14860671334,13,0.26296619005253075,0.3195005518445057
43,Tech,UK,56510.16761919293,93639.58596734145,43710.93922478489,254,308275.05034464854,15,,0.5871378492851306
44,Retail,Germany,51505.720193659006,47901.156075688166,51828.258464404666,172,463366.0832114995,3,0.08125640606049744,0.583169707577889
45,Finance,USA,28587.904987265712,44197.50506747926,40130.96081141359,69,322188.6769571741,5,0.05054752172246285,0.46544634578883615
46,Retail,USA,41776.02526879508,83299.34479285475,63452.36800789366,15,298217.68166530295,8,0.24902302326987757,0.5263723912973046
47,Health,India,47556.82612821127,72503.76184747636,50002.48477901836,206,325766.58486135886,1,0.18146274449130592,0.5119682827774593
48,Tech,Germany,,19037.47541510324,49888.39614633663,67,299112.6396841118,8,0.12689022655486776,0.47354259297754964
49,Health,India,71097.62025122158,118886.46128978771,46065.26340184498,226,234958.8502191896,18,0.11022097497471213,0.596619245266226
50,Finance,UK,24797.048731724328,112201.85585021852,51862.28820630775,35,365862.3932542164,16,0.19702807464135397,0.5943063429299155
51,Finance,UK,70406.57866296772,33680.09803379918,59901.17917601162,14,318060.9218489404,18,0.19510229458499523,0.4778615312488264
52,Tech,Germany,49387.80744170998,62160.94080001969,39594.4374114692,29,301409.06015469256,12,0.0872390910580838,0.47927195750337953
53,Energy,UK,42682.27466694224,65934.56644766884,42102.60213109692,207,221970.71781774,13,0.07003392563693403,0.4586514621149139
54,Retail,Germany,81294.86597642384,57319.96432130533,46355.287654680025,68,404280.6345547807,13,0.07356681130005537,0.6486281731100976
55,Retail,UK,100257.76126235511,35235.7653805736,33849.54891832142,251,353176.2196266488,10,0.11722427936679503,0.5826616274238334
56,Finance,Japan,95381.51347379487,32762.045639876113,40168.905683342025,155,255766.33301061584,7,0.10171501824920705,0.4607219485962606
57,Health,USA,39355.50877733504,48274.925179041915,44285.34951746409,282,380145.988294555,14,0.2632664412718696,0.501644851225591
58,Health,Japan,51297.32123090885,99075.49473194886,60492.67016855273,258,260194.33292918344,16,0.11473535644183926,0.5176691660633251
59,Energy,Germany,70659.77352012864,67925.04472605363,53150.7359480231,23,237439.72059911705,15,0.0625233486435189,0.5125059520276559
60,Health,Germany,97516.07971687509,39247.04370469711,52323.07893641053,22,239223.75060157705,12,0.06645517913703307,0.48476168167999184
61,Retail,Japan,,77887.38079611766,60210.77554601566,53,158314.5157529527,9,,0.4226787691164136
62,Health,USA,54566.232152773635,8873.942280879544,48351.53853920724,28,337723.39043345646,8,0.022451311391481155,0.41477738640006684
63,Energy,USA,34435.128959942755,97661.17999458805,54685.57819914667,72,153508.409732932,18,0.14579155002963223,0.3846238315302776
64,Retail,India,32922.009273227784,,48761.33896481004,248,201724.49349873897,18,0.0564653349662905,0.26472431152327025
65,Health,UK,89882.89282516975,39439.98526685746,53184.34819279554,109,133952.95927371734,13,0.23110272567191908,0.37201935844849354
66,Retail,India,117962.25911560976,25039.204692407733,43006.896108661014,172,293114.42457672855,18,0.15815936444693615,0.5010598525922862
67,Finance,USA,57756.7173408317,22543.253364755456,20734.19410068285,131,287974.36317825026,15,0.29847165210727106,0.399347047395506
68,Finance,Japan,98890.3014846202,98370.48338352838,48388.65005376435,53,273864.30294509087,4,0.13402595943484524,0.6210708288246322
69,Finance,UK,71741.02312282495,37026.13446622592,67072.97763319928,154,216593.7844263539,17,0.0,0.4252120277549622
70,Health,Japan,43366.39548989126,60349.161292472585,61114.58482689911,59,206221.2997250688,5,0.25203768402493426,0.3867004142279021
71,Energy,India,71732.3996692858,47659.99533026182,61584.76981509405,74,337149.58908372594,16,0.1851346210933948,0.4965260677183095
72,Retail,Germany,129187.26317483674,65265.86884681256,64833.56866167461,297,255955.845463321,9,0.19598355152724714,0.5655278853169825
73,Tech,Japan,58811.164037321854,51333.20715145797,51063.89109153725,173,325308.6657228916,10,0.07981914871791655,0.48025081368617334
74,Finance,India,,22701.91736876548,52367.78848886715,150,229180.1051100622,18,0.14700063610832276,0.48698066308192783
75,Finance,India,16157.30337763945,89121.87479323887,42588.1772547878,137,314485.0194216866,17,0.16305226125949618,0.5039855451060877
76,Tech,India,90305.28385884807,36451.7974910098,46207.125727675404,248,404262.2429852851,18,0.1333525567675731,0.619381099723231
77,Tech,Germany,62537.617465711475,19265.10795642858,57389.253797253696,196,346893.2640314227,7,0.028594602232256808,0.47454495572932776
78,Health,Germany,51559.73538000993,37916.092433539256,64446.613246025794,217,267006.8945426816,4,0.3438084433781338,0.45305442631120196
79,Retail,Germany,62685.183336192444,120626.69307293484,48326.644691828005,229,320575.9176284742,5,0.20850804664797576,0.6136643880547853
80,Finance,UK,22163.798590270853,81644.77022938678,44597.728821783065,199,280746.78603758296,16,0.1794408832914277,0.40607549124561393
81,Energy,Germany,53646.10021714487,39767.63698268123,50006.33550627917,293,300630.41477557825,3,0.24197199347097856,0.45536859668025037
82,Health,Germany,71578.94788451088,39753.19035675006,57214.48098714938,246,273951.1158281197,18,0.1950934547727189,0.45850010002260433
83,Health,Germany,125360.26894021804,40417.53357862276,32673.7422063975,203,286853.1835291687,14,0.10259579839442096,0.5459023090999489
84,Energy,Japan,46205.99778654184,170424.69219662595,22445.82856235314,296,316967.468245934,15,0.2374847930472383,0.7156482901824047
85,Energy,Germany,39964.75415579039,61645.85496267015,43393.557806100995,268,220531.30403344394,17,0.20965512046046106,0.3871833606911688
86,Energy,UK,46589.080946626,63451.11134740298,35351.45088903009,255,218729.69384080172,1,0.10524999278801589,0.4330331731450753
87,Tech,India,94627.27747243758,90959.5401069194,43902.31762823227,145,188916.5956935031,17,0.20530102677995313,0.5397171377793444
88,Finance,Japan,70571.06920252321,56572.229302367334,48226.63617419034,289,171978.31163970323,11,0.13316009774767432,0.3825887373802199
89,Tech,USA,45941.305719418975,41964.30741496289,44561.019091723836,280,202617.38462236166,17,0.1645934739859029,0.35786175268995774
90,Finance,Germany,77391.61470441605,43572.87447034844,67429.61041364894,180,312757.00054433034,14,0.1919755326839258,0.49760149444999
91,Tech,India,62852.04647052314,,53920.93717522784,168,228576.9987606493,19,0.2457948390913472,0.40764230390077255
92,Retail,India,97180.22228070487,47938.137572246065,53605.69231532994,210,341089.1571384877,7,0.1047802810411062,0.5412956864736751
93,Finance,Japan,42149.30409370507,75854.91079457212,,54,302777.0999002049,13,0.17554735264565843,0.5074055574703743
94,Health,USA,50826.28528924849,50572.717573858536,,273,142519.66292495572,18,,0.3466167038348403
95,Finance,UK,49214.61560137578,76083.29807177832,62469.341449043226,80,352398.04673773516,14,0.13767667527811336,0.5457033147605226
96,Finance,India,28803.221742713624,46703.29752299106,49090.82856157448,112,364863.8916473368,1,0.16375897443897075,0.4566867690227928
97,Finance,India,69429.01471093169,51389.08702382163,58045.76740689455,134,220490.98601321172,7,0.2909961332134592,0.44152562982543764
98,Retail,India,68222.35909639139,14780.730072857623,37137.713203518135,295,333615.3234315993,8,0.19462342303643732,0.43344084803086863
99,Tech,India,60027.41949034858,84948.1717021086,,239,231480.1410072641,18,0.046821380458721876,0.48893747517356717
100,Health,Japan,53247.51593163687,60348.60345760048,59814.675896300345,155,307813.63013986684,9,0.09431656434919444,0.48809785236138536
101,Tech,USA,29504.98847781363,89215.14274859843,54516.9143131702,206,198840.12744360275,1,0.198270545005581,0.45667404345219276
102,Tech,India,48517.37880494381,8623.503961225744,39175.381347709874,230,156551.48379723384,17,0.17961034355233324,0.25083565388658186
103,Energy,UK,50445.19314893446,171617.73694904803,39564.04302470367,69,269374.6248309625,19,0.16138059067171737,0.7189134950664475
104,Retail,UK,40089.16452318904,45082.355714837875,63505.21741297723,107,290101.6842980131,6,0.3012856928216525,0.44742584441569994
105,Energy,Germany,55235.27920593197,95311.87515795005,35727.05728559206,180,268185.62451083167,3,0.10677589906891236,0.5744431422492504
106,Retail,India,73278.71241277449,26266.678658632594,69712.07543907156,182,205277.55534219526,5,0.14479103235975746,0.3899662468017766
107,Tech,India,153751.50136631745,70803.54457431163,39192.55118422557,160,268008.075029509,2,0.012582285339323485,0.6322199122676632
108,Tech,India,65335.375480845214,26054.627279442113,57660.70310730059,131,321543.5802064587,4,0.23124619221606804,0.4389998553622751
109,Retail,India,68102.90815163254,,46056.578291012185,117,296408.557590197,10,0.0940803389256194,0.4496057116171942
110,Tech,India,57686.41841980109,154572.54504285235,57238.249172988115,13,314600.08244793705,10,0.22399957381606503,0.7271004041782204
111,Tech,UK,22939.472424310374,43721.294885411735,43470.63197462969,102,246390.78396366138,11,0.2166421092006111,0.36800564973132044
112,Health,USA,59085.632106662604,55851.950283126884,48046.485127132466,15,393737.43317729275,16,0.3144369481151445,0.578540683011184
113,Energy,USA,61704.68290395539,82622.7742165268,50491.03010474865,297,205906.13307561754,17,0.19544929035718484,0.47666690615080054
114,Energy,Germany,205175.51370646822,65999.94137717604,37973.750530622325,115,339004.8237669375,16,0.1250739362975924,0.7659602358977893
115,Energy,UK,,53650.783028928934,58889.89214504151,155,394551.28743679693,7,0.18175360719979644,0.560281320273009
116,Finance,India,69617.66845141408,61021.19864039029,43841.437202340974,280,338472.64741991163,16,,0.55715384763048
117,Health,USA,58843.93890685374,207326.33970189816,47256.80101591978,105,283798.0618348136,3,0.1723412124256236,0.7636748874101116
118,Energy,Japan,,47355.04887605117,38067.807504697856,238,257736.23626696167,16,0.13593682461203394,0.3954684370268141
119,Energy,Japan,106023.008117994,55307.25807694259,19251.996094456274,211,382887.0120837005,8,0.145076308522969,0.6321449046581633
120,Health,Japan,87200.6022441985,92078.12105391738,47707.66684879797,221,186162.00597906616,12,0.08711434584507054,0.5171564947073892
121,Tech,India,88922.09902080028,95160.05665427439,78951.38505935499,15,222390.0591696285,3,0.17103122418339434,0.5423912171032073
122,Energy,India,37998.663711472254,99929.29684306963,59415.251454776284,121,268195.3787606623,17,0.2076961017980248,0.5297449105570995
123,Tech,Germany,120740.29015277153,71914.85532007582,49768.875443187266,115,399012.30060095986,18,0.03435322437297908,0.6787271592189325
124,Energy,Germany,29705.11311133073,,46845.31004950079,148,330381.41088327166,11,0.10179851427144038,0.3837848215912543
125,Retail,Germany,80292.263224049,130621.47548192753,50269.590713744554,105,222556.33931918038,4,0.16176330184261892,0.6156261326130557
126,Finance,Japan,,24641.634833010557,56565.42938210252,223,275175.3835692077,16,0.0,0.5639770292708407
127,Energy,India,36487.748928509165,58781.4306738533,35830.24621629386,31,250854.14847229645,17,0.27181851035990434,0.4285802835667002
128,Retail,Japan,45109.63482683338,31176.955339864897,63371.86033602647,202,243216.8806213172,9,0.10022224298128614,0.3354982475050585
129,Health,Germany,62932.98333173081,47170.17055598575,58584.57578529493,159,378311.16468454234,6,0.08433387368691002,0.5268889910740655
130,Retail,India,46549.06389993024,59710.158628247904,58618.22870849521,256,190260.54965891957,2,0.1354860406620248,0.38490081457254455
131,Health,UK,27575.0948676829,59445.44791842614,55261.708865716726,276,428702.4684587499,9,0.15961609871587565,0.5210828094130233
132,Energy,USA,61962.30451321754,63142.695531235266,50235.39989232788,260,366258.37521476985,6,0.09704689714333636,0.5547821025466493
133,Health,USA,35201.646749105144,129085.04909770783,58074.33483160184,12,387268.9336482958,3,0.21862895661922488,0.6944881079967583
134,Retail,Germany,75871.48607914153,64351.82549923547,57101.76960489654,85,262964.8390379793,6,0.1779794577608856,0.47747657680989564
135,Finance,Japan,37808.44929238952,42340.782202175455,45751.511468707715,96,288004.7424736713,7,0.0913930674476251,0.4148905674114452
136,Tech,UK,129958.07826004487,87417.6337960438,43116.778725237185,279,185347.85483802305,1,0.113431641815434,0.6021035622400173
137,Tech,India,40472.31154899348,100075.71148514227,51222.27554314384,234,258027.00743465577,1,0.04382612125267764,0.496044278981284
138,Finance,Japan,50968.81437834962,23468.991329722554,68588.24181794225,27,339492.3878114521,5,0.06226613731256146,0.47292958151080866
139,Tech,Germany,,70153.4343740751,35130.71509215319,122,403685.0449425117,6,0.17713188297486532,0.6425659869922264
140,Energy,Japan,32356.423466618504,74660.29064582095,32389.69681097072,260,211427.45465580386,13,0.09211948107511199,0.41903542193387106
141,Energy,Germany,67085.9537057547,41005.5170153552,,242,270759.52504117874,2,0.2762999117134365,0.47507722925047313
142,Retail,USA,115101.7014704116,111907.07159700821,50610.652422272215,288,287896.0623813982,15,0.15496462402163996,0.667081586518732
143,Retail,USA,26802.712731991644,44800.1446763415,52080.0999724449,211,188336.86382460117,15,0.055302360242720325,0.3430943629784211
144,Health,Japan,65664.71049986534,,52927.438374902005,92,347307.93934067205,13,0.0699656899752706,0.5497494057890033
145,Retail,UK,68182.37621206234,44185.718519228656,47321.57294438234,134,242080.77346059127,14,0.22370787862769997,0.4212933399801825
146,Energy,India,88513.59507710664,49481.16784284243,67878.36126322499,184,284368.7719058381,7,0.14464404781736478,0.49399914248403937
147,Retail,Germany,32258.106163956894,,30789.152258281814,78,263844.0502470498,14,0.2194396378590345,0.3556766485140065
148,Tech,India,30938.965672384347,20660.30427796463,40058.03570263705,56,236852.91954242607,10,0.12434584139453539,0.32326508587522185
149,Health,USA,77727.99619183726,127606.04685745241,,265,299436.4011615556,17,0.11078375352475428,0.6397742493500813
150,Health,UK,69459.028283522,29490.49216860554,30281.734266149993,224,282751.2337145582,14,0.22836131597240694,0.42653850376077995
151,Energy,UK,67863.01215745343,27042.489421564827,47889.74714681515,39,270251.36941770674,8,,0.35274250947603203
152,Retail,India,71198.29174370048,13466.574508611426,69937.64198873621,290,241723.07026557258,4,0.18423378933592532,0.3704235891793435
153,Tech,USA,42616.1104017458,33410.414822321196,50250.63785955154,246,325561.9736626364,16,0.13517514727190424,0.4590824577833965
154,Retail,India,67246.94363203374,22162.260060611297,52768.4108686242,257,432289.3814793828,13,0.21151063893630423,0.5076926580572885
155,Finance,Japan,69323.29228044768,131295.93446229305,34878.022817929035,34,311190.9786271302,18,,0.6562666996160911
156,Retail,UK,41890.91643947032,89849.40352321959,42603.66310352627,83,379689.45719289035,14,0.12254756217592935,0.6451334036168214
157,Energy,UK,152190.34034950286,,45497.643436112754,215,188782.245987723,18,0.11170005028424808,0.49373765956290694
158,Retail,Japan,75880.60980500924,189370.64972004687,46187.418838925194,103,312620.91514350154,5,0.19660658723261487,0.8197948336185682
159,Health,USA,33002.81868172333,88349.80690661364,65379.72554004523,136,212210.53448231466,9,,0.42573396298784005
160,Tech,UK,83139.63347897306,40340.09513742859,56692.2927287015,34,181846.00579744787,3,0.2631525820495025,0.40984281324671956
161,Energy,Germany,36778.14878884596,10941.92008487056,36662.504516755616,125,240850.2874032771,8,0.2512215785039531,0.29608692867479797
162,Finance,Germany,88746.7690736659,193796.81494558457,52958.05734118406,57,395351.9467530858,10,0.08006162525876985,0.8950166332030223
163,Tech,USA,106862.45182310586,,55978.660981961424,235,376001.2662935717,19,0.03918126264151654,0.5705308879342692
164,Tech,Japan,39721.9353114016,18265.34361530691,63681.788462255194,275,319440.37776435196,3,0.06875959930006474,0.4137654093197913
165,Health,India,96924.5446554673,90539.56886908825,68966.48823882049,108,177383.95520880554,11,0.06982412520286174,0.5114743723737915
166,Health,USA,73599.27568765842,211896.12216952912,37818.86969806558,20,284297.54788896505,11,0.20612323950484834,0.8171278675020757
167,Health,India,90312.40270715083,112483.71010846044,40269.70986547594,94,324136.00071213883,17,,0.675434663555548
168,Energy,USA,154569.09486864705,68757.80057705835,34909.065693024604,223,314042.8983662878,16,0.20530883488331766,0.6839233552592207
169,Retail,Germany,52960.728278498646,70042.15856796266,47191.76169071622,182,152496.51332154035,7,0.13346654483684797,0.38904728124677385
170,Tech,Japan,41074.054255553856,81801.37528856804,55596.300493356015,218,228774.57215841027,4,0.17397489268372895,0.47685626569189976
171,Retail,Germany,38378.120025753546,77292.88248932078,61848.01419906922,73,294873.77886810264,19,0.08911553770364751,0.5267440760976752
172,Retail,Japan,39818.81656316795,58029.9685011489,49088.58771628972,267,342903.2727613752,12,0.22680456318949627,0.49375343112204984
173,Health,India,57609.86764500918,52183.44940405155,46161.829720941874,130,124309.77431200427,15,0.1802420257987773,0.34115831428405946
174,Retail,USA,71009.99973244728,47213.92377292866,51821.09590698488,63,287030.08196161134,11,0.20412384474115242,0.4624706170375831
175,Tech,UK,,31182.778388628383,39978.28518043972,281,311443.9015903162,5,0.0990725008698157,0.47146251792795046
176,Tech,UK,90544.0384934957,41423.14053915023,75074.46466033728,250,367968.95908129704,5,0.13819819691919474,0.5699702606391974
177,Finance,Japan,60264.64822919007,17751.510883580642,30708.067674583297,252,355428.60673899495,15,0.2007551197986842,0.4614026072028164
178,Energy,Japan,123842.6439818963,46212.06656012695,52216.886946748695,27,346605.7055047044,18,0.251045902966653,0.6081406565828873
179,Retail,Germany,52452.93568539626,27087.979178452042,74283.27463075568,196,236004.75946384526,11,0.10743301683859904,0.4100956972375584
180,Energy,UK,233300.96243104307,25281.96082847969,50081.59813471997,153,147359.82903013538,12,0.20463163350195737,0.5106687724463628
181,Energy,Germany,81865.56043406476,54608.04475376441,47719.53157998207,271,268555.7794350879,2,0.10015497423728012,0.48692591614750685
182,Energy,India,39004.067782647355,113006.5851665584,45710.654926274874,248,380130.5460166848,15,0.29820356409786264,0.6317492352585939
183,Energy,UK,35050.80119981717,85049.60586027955,47835.299818851105,85,411476.36220195453,4,,0.6309947555409345
184,Tech,India,76209.10384893956,19104.890680453787,66474.18169611836,197,356843.92818382283,18,0.19504536218364782,0.4975043558677467
185,Retail,USA,53544.51309086877,27071.129802192874,23457.657064045918,255,334347.26582413877,6,0.16159267306635428,0.461930558622763
186,Finance,Germany,85562.31732556151,86203.21153919116,68401.2044155559,139,330371.17187087727,19,0.33237121849523454,0.640243960381489
187,Energy,Japan,75858.02744139526,27187.363411593033,32912.51417059826,292,255510.50025913757,11,0.16609311256171946,0.4189710341565234
188,Finance,UK,57733.07683793564,42839.68236143146,,88,289595.1765157104,2,0.11394607839069103,0.4670016519088993
189,Tech,Germany,39206.708289268674,68188.50351186439,44849.066956416056,81,433525.5620661065,8,0.1947654558829144,0.5813922013474497
190,Tech,Japan,28073.360693877235,27419.05057057196,57062.63923724864,272,224595.3595366499,11,0.19320686067427612,0.3055583032943704
191,Health,USA,47893.85676715467,52220.23297662702,,200,429182.3032567881,5,0.13897710953687406,0.6055104334554763
192,Energy,UK,91876.39289496475,22017.320169929037,55546.071992983314,72,274237.74764063535,18,0.0733663895040324,0.45862006239009606
193,Health,India,66639.10671173967,34172.59936018966,74291.71547944224,21,406034.56872760627,18,0.11304007970267503,0.5560247656675659
194,Finance,USA,32116.673907999568,59389.288480919095,33641.91194488628,150,187454.79924019694,14,0.21170492637014435,0.3453139335206884
195,Retail,Japan,65289.75834550247,18848.78547716937,52276.474011324746,263,346872.3360931719,10,0.02767857376362258,0.47333713026436774
196,Health,UK,72595.53444248285,63849.551858570885,42056.21386644069,52,241058.38912419026,3,0.13263678704300008,0.5150037716176551
197,Tech,UK,38486.826076946585,48446.59424580814,55110.64647431643,26,186778.624646065,9,0.21964047452717483,0.34849732595620025
198,Energy,USA,64657.70472023092,68288.31671971806,50229.773328989024,72,317482.72339287563,3,0.14345526466999667,0.5124333804105109
199,Finance,UK,61642.346666459016,56069.567776038886,42302.15709146828,262,380757.7430876775,11,0.302159709768692,0.5628883738949906
200,Tech,Japan,33810.09992163867,111133.14411272288,55854.467418452885,17,232404.6849125203,12,0.027874483179094314,0.48818724793371404
201,Retail,USA,71603.10229654542,52845.86255080758,71652.17731744092,99,180078.7231633279,12,0.08270424917563962,0.3760033831476751
202,Energy,India,79252.34357163499,37886.74809057488,47709.154499272416,217,292652.4188532036,3,0.0,0.46407863272634936
203,Retail,USA,102901.30681416778,52753.13610609638,58637.09530577818,293,293005.1736978255,7,0.28955833967217093,0.5344104154961847
204,Retail,USA,101407.36757369826,67912.73270679424,34480.72450554604,127,343865.5702043599,14,0.08385089944738586,0.5932839770466046
205,Energy,India,30066.453153166203,50479.16935744109,,184,375967.56570915907,11,0.01091550817901668,0.52336140665473
206,Energy,Japan,37462.19162561056,50229.36097691185,55668.87533456453,85,295246.78549820045,7,0.10716564799021958,0.4806416378835893
207,Retail,Germany,77460.05271430449,32170.494362854533,67809.39234243159,110,448440.26518354105,10,0.05250336242680709,0.6016450402681472
208,Finance,Germany,77411.68177043945,32933.95427747918,54267.36018542792,160,317938.77956282336,11,0.1076650576786218,0.4940203647029375
209,Energy,India,77460.53370776703,21129.740658523595,46243.30363372215,279,272285.87951944803,15,,0.42343802324003393
210,Tech,Japan,411007.0905710973,140048.7766999512,49991.49686508025,80,171074.61127177376,19,0.20634447728329705,1.065541221991706
211,Health,UK,79653.81851319727,23241.20497409499,34995.107192363386,189,278987.2383747066,16,0.13777317419223434,0.4712111330392239
212,Finance,India,105638.9915314875,32346.36346248785,57254.1839162644,133,273089.0443671091,12,0.1517703489534273,0.49036537977408734
213,Energy,Germany,96471.30462877735,31855.191325141517,60587.99674788091,294,376824.3837025176,18,0.10928833438509085,0.5506251371141331
214,Energy,Japan,82925.3119509736,83864.24387973953,44574.91600600303,204,336998.6899253483,13,0.04418112409252385,0.6320105401062821
215,Finance,USA,51142.20565616736,41069.876218253085,44359.49422688598,237,205650.47026939061,5,0.020742182992386893,0.3719017533386614
216,Health,Japan,87507.92242496561,103636.53940709491,53190.538755824586,284,313780.350912883,4,0.1244859953764547,0.6591051280437743
217,Retail,Japan,40683.886857372636,32725.361111750673,44759.363167512856,115,353722.49373832426,14,0.15592478449802497,0.45125957336950884
218,Tech,Germany,53188.13885561424,57953.51469100133,49206.408624490134,30,422242.5087510266,8,0.11929698351416243,0.6038359831753186
219,Energy,Germany,46972.52926471137,29696.71664612648,75196.66146999819,73,371000.31739312474,9,0.02334711049970603,0.496247825442647
220,Health,UK,62376.07514464482,,47035.69159104804,174,360867.73234491824,19,0.16409800652877202,0.8138839645125594
221,Tech,UK,190485.10534690318,24039.196114233968,45699.91817574533,36,304806.8795692131,3,0.264051341803302,0.6134630571123232
222,Finance,India,23537.905572006715,59035.393103272065,42229.49833237809,294,331064.96043387597,5,0.14197474405421964,0.4665688241840752
223,Energy,USA,84383.74735757188,71701.44132584675,58930.30365799924,157,399960.3920564927,18,0.1094328595696742,0.6789022189119703
224,Retail,UK,26732.679957763885,,47825.309921382766,290,193377.80820162804,1,,0.3655445249749212
225,Finance,Germany,47289.05096861442,43863.043230860196,42207.52354014289,173,272044.8538226435,8,0.07269341088058168,0.44251606193340637
226,Energy,Japan,103205.28051315279,45347.37542731542,65855.64838727615,233,238194.50009950076,19,0.06817706094926959,0.5318695720563991
